,Date,closePrice,canolaOilPrice,soybeanOilPrice,soybeanMealPrice,cottonseedmealPrice,sunflowerseedMealPrice,Month
0,2017-11-27,874.7737776443487,34.65166278875181,27.359494087863933,302.8638755166319,224.17549307907342,148.74956942317013,10.999999701976785
1,2017-11-28,903.5424257538028,35.30073535861196,27.81160045371948,308.9723745422833,236.09378394036474,158.82440938280976,10.999999701976785
2,2017-11-29,927.8533889163301,35.82780092198665,28.175661713791573,314.5703841506327,248.54048916521594,168.04080567666747,10.999999701976785
3,2017-11-30,945.443884055425,36.204688932586755,28.493576649815715,319.28284083171957,260.290392615342,175.34249989422852,10.999999701976785
4,2017-12-01,958.2470395075261,36.48622630113394,28.792368516610246,323.5000070206399,270.6289879629623,180.7097010443936,11.999999672174463
5,2017-12-04,968.0729421546573,36.72675781245119,29.057644283114215,327.696086605898,279.1622345029522,184.20877412725636,11.999999672174463
6,2017-12-05,975.3496572789641,36.93187106247537,29.260531974564046,332.16222811677727,285.93101318909044,185.793834640317,11.999999672174463
7,2017-12-06,980.5753959205578,37.08979944712121,29.402159400203846,336.7822520370364,291.0636385269394,185.96774110647164,11.999999672174463
8,2017-12-07,984.556819856823,37.207097646237706,29.519334170247088,340.9443950117862,294.66704679035996,185.63520505243065,11.999999672174463
9,2017-12-08,987.7511231010162,37.29611934465196,29.621739908242976,344.3292299109309,296.9538215170218,185.36112622087484,11.999999672174463
10,2017-12-11,990.4956925985131,37.3664454201913,29.710129584739747,346.9294531225615,298.26886957141727,185.30678089909895,11.999999672174463
11,2017-12-12,992.7744141735438,37.42446645664037,29.783303715910623,348.87520173160283,298.99945468832595,185.3830611462305,11.999999672174463
12,2017-12-13,994.0026435815537,37.469948887824344,29.86189877011259,350.5280045275525,299.53841557099975,184.94002808526943,11.999999672174463
13,2017-12-14,995.35034314218,37.48349439320399,29.896457541865946,351.96082321966185,300.12085476270585,184.7662401280435,11.999999672174463
14,2017-12-15,996.4429400910514,37.4904474016721,29.920486929994563,352.8588984642864,300.47204555119833,184.62669047768412,11.999999672174463
15,2017-12-18,997.3282475172052,37.49200739715071,29.924835252581715,353.53862662153307,300.6035696917886,184.48994194745856,11.999999672174463
16,2017-12-19,998.0547619663578,37.487793543494575,29.91222924321036,354.10229260113096,300.5738966804064,184.32081893260937,11.999999672174463
17,2017-12-20,998.618873632109,37.48074490950269,29.89277249974115,354.49625263285174,300.46643835747494,184.08248311219708,11.999999672174463
18,2017-12-21,999.0657965428884,37.473472038655366,29.865862568249458,354.76124324173975,300.2736540141938,183.79903130173193,11.999999672174463
19,2017-12-22,999.550559850891,37.467846459060986,29.837616196363562,354.8906991904442,300.0361732473819,183.52166654078835,11.999999672174463
20,2017-12-26,1000.1459950100443,37.46585898084016,29.82208431429847,354.8139883700641,299.8337148836653,183.30316121445168,11.999999672174463
21,2017-12-27,1000.9219589938026,37.46748028327479,29.81870766659425,354.6274772461956,299.66876026739305,183.2165670993402,11.999999672174463
22,2017-12-28,1001.8879720649115,37.467914429816574,29.84308709788743,354.3393337296492,299.657313858137,183.28492161296487,11.999999672174463
23,2017-12-29,1002.9713086570979,37.46401810620981,29.892814148485133,354.06043992849857,299.8362091181147,183.51376953671874,11.999999672174463
24,2018-01-02,1004.032533981815,37.45240043804486,29.962610082231087,353.94294106857,300.2535196771916,183.8365016702913,1.0
25,2018-01-03,1004.9068675965127,37.43379477646409,30.0435064716821,354.09428495766645,300.9373459544873,184.17138276464945,1.0
26,2018-01-04,1005.5010032253621,37.410491136188654,30.121680582997183,354.6053317332833,301.89352716553435,184.46038653886706,1.0
27,2018-01-05,1005.7899802603754,37.38056301276376,30.176098444458155,355.56063386808546,303.1857275167695,184.66280338033252,1.0
28,2018-01-08,1005.7343603633631,37.3358725741583,30.203389800958714,357.05814905346125,304.96963364219556,184.73284933957646,1.0
29,2018-01-09,1005.3372239024534,37.26775954645514,30.184169777327412,359.39400555408633,307.5087063062098,184.6433140483245,1.0
30,2018-01-10,1005.1013639653482,37.18321458858993,30.133130113291365,362.6258767191736,310.7778355930116,184.6084293291194,1.0
31,2018-01-11,1005.2284002721794,37.092986076074105,30.06975389757179,366.5388211424468,314.54835756454037,184.7649975798816,1.0
32,2018-01-12,1004.6048567538576,37.00729794339319,30.01804688505654,369.99204440764896,317.4690158740581,185.44764133003378,1.0
33,2018-01-16,1004.899946394375,36.99089699989913,30.015535175221594,372.752031267873,319.46013036524,185.8959713809915,1.0
