,Date,closePrice,totalSoybeanMealSupply,totalSoybeanMealDemand,Month
0,2017-11-14,1.0688307946547866,1.9934892505407333,1.8165268898010254,11.0
1,2017-11-15,1.4295396506786346,3.846488237380982,3.3128579109907155,11.0
2,2017-11-16,2.414046972990036,6.1220482885837555,5.457068920135498,11.0
3,2017-11-17,4.1326353549957275,8.058725237846375,7.697553277015686,11.0
4,2017-11-20,6.07185360789299,9.277364909648895,9.23920863866806,11.999999999999998
5,2017-11-21,7.538939476013184,9.959834098815918,9.978945016860962,11.999999999999998
6,2017-11-22,8.347630023956299,10.408762991428375,10.276679456233978,11.999999999999998
7,2017-11-24,8.640700817108154,10.738512873649597,10.39493465423584,11.999999999999998
8,2017-11-27,8.636100113391876,11.00113523006439,10.463326930999756,11.999999999999998
9,2017-11-28,8.500280678272247,11.195649862289427,10.51557183265686,11.999999999999998
10,2017-11-29,8.349563539028168,11.318772614002226,10.557588577270508,11.999999999999998
11,2017-11-30,8.258005142211914,11.37324148416519,10.583634972572327,11.999999999999998
12,2017-12-01,8.274237096309662,11.375882446765898,10.60897982120514,11.999999999999998
13,2017-12-04,8.365694522857666,11.351414203643797,10.640741527080536,11.999999999999998
14,2017-12-05,8.495773077011108,11.33868211507797,10.721039772033691,11.999999999999998
15,2017-12-06,8.590102910995483,11.324026346206663,10.82942545413971,11.999999999999998
16,2017-12-07,8.616343379020691,11.28927683830261,10.936777830123901,11.999999999999998
17,2017-12-08,8.596152603626251,11.242337465286253,11.033740758895872,11.999999999999998
18,2017-12-11,8.550226867198944,11.189718842506407,11.10420227050781,11.999999999999998
19,2017-12-12,8.505510151386261,11.150032281875609,11.15721821784973,11.999999999999998
20,2017-12-13,8.487803637981415,11.144588410854338,11.212970852851866,11.999999999999998
21,2017-12-14,8.481561183929443,11.153852105140684,11.262042403221129,11.999999999999998
22,2017-12-15,8.500484585762024,11.193630456924437,11.330033421516417,11.999999999999998
23,2017-12-18,8.527361690998077,11.251643776893614,11.404584884643553,11.999999999999998
24,2017-12-19,8.560954630374908,11.333665728569029,11.485437154769896,1.0
25,2017-12-20,8.604303658008575,11.443603992462156,11.571480214595793,1.0
26,2017-12-21,8.655769646167755,11.57450997829437,11.656535863876341,1.0
27,2017-12-22,8.715120494365692,11.71815526485443,11.737470746040342,1.0
28,2017-12-26,8.790925562381744,11.879550337791441,11.820689260959623,1.0
29,2017-12-27,8.864192605018616,11.999999999999998,11.886920511722563,1.0
30,2017-12-28,8.934511184692383,11.999999999999998,11.937149941921232,1.0
31,2017-12-29,9.012571692466736,11.999999999999998,11.980736970901487,1.0
32,2018-01-02,9.330355286598206,11.999999999999998,11.997173488140104,1.0
33,2018-01-03,9.635719537734985,11.999999999999998,11.996359825134276,1.0
34,2018-01-04,9.881691634654999,11.999999999999998,11.966510653495787,1.0
35,2018-01-05,10.05800473690033,11.999999999999998,11.867351949214934,1.0
36,2018-01-08,10.157033622264862,11.999999999999998,11.734736680984495,1.0
37,2018-01-09,10.193773686885834,11.999999999999998,11.59126055240631,1.0
38,2018-01-10,10.179391324520111,11.999999999999998,11.441620647907255,1.0
39,2018-01-11,10.14709198474884,11.999999999999998,11.291247069835661,1.0
40,2018-01-12,10.125734806060791,11.999999999999998,11.148385286331175,1.0
41,2018-01-16,10.131052136421204,11.999999999999998,10.905341982841492,1.0
42,2018-01-17,10.208198010921478,11.999999999999998,10.408825278282166,1.0
43,2018-01-18,10.318134307861328,11.232660710811613,9.646227657794952,1.0
44,2018-01-19,10.389647483825684,10.478973388671875,8.923096299171448,1.0
45,2018-01-22,10.45172518491745,10.00428855419159,8.470268249511719,2.0
46,2018-01-23,10.506896257400513,9.467390954494476,8.049312710762024,2.0
47,2018-01-24,10.550898969173431,7.92976588010788,7.03576922416687,2.0
48,2018-01-25,10.619171261787415,6.1373118460178375,5.754874497652054,2.0
49,2018-01-26,10.759560585021973,5.234328508377075,5.003787487745285,2.0
50,2018-01-29,10.902893126010895,4.900054633617401,4.692964613437653,2.0
51,2018-01-30,11.027180314064024,4.861521363258362,4.6162567138671875,2.0
52,2018-01-31,11.132636547088621,4.9511678814888,4.635190278291702,2.0
53,2018-02-01,11.131588160991667,4.873008698225021,4.603451192378998,2.0
54,2018-02-02,11.115376532077788,4.907909333705902,4.630511224269867,2.0
55,2018-02-05,11.109949707984923,4.922266781330109,4.682600736618042,2.0
56,2018-02-06,11.156813681125639,4.931352138519287,4.757530182600021,2.0
57,2018-02-07,11.222820699214934,4.9141281843185425,4.778252363204956,2.0
58,2018-02-08,11.315490424633024,4.86436328291893,4.680397421121597,2.0
59,2018-02-09,11.42151379585266,4.805882155895233,4.5378903448581696,2.0
