,Date,closePrice,totalSoybeanMealSupply,totalSoybeanMealDemand,Month
0,2017-11-14,864.4262928672031,4097.887400167173,3672.252652391478,1.8275476223961227
1,2017-11-15,886.5103363798094,4193.8693292573425,3797.155499296966,3.2991383433598775
2,2017-11-16,915.2181905364113,4345.246809014197,4000.751983190797,5.072839555953754
3,2017-11-17,942.9334417879612,4528.157643954161,4196.217852992154,6.717673369715412
4,2017-11-20,962.5844962424924,4688.696711490315,4310.243786843992,8.000442236648732
5,2017-11-21,972.2984948912215,4784.39266377009,4364.061416669647,8.941781462973909
6,2017-11-22,975.2300234817907,4825.813806331575,4386.963265533529,9.636601786714738
7,2017-11-24,974.3902862516312,4840.667544213691,4391.565449176076,10.152124489780531
8,2017-11-27,972.1345422976057,4845.551728354745,4385.529472446235,10.53726507612273
9,2017-11-28,969.389231586528,4846.226999407528,4374.332047883248,10.819183235788845
10,2017-11-29,966.5523088020917,4845.5180457213455,4362.007902399743,11.021686314890196
11,2017-11-30,963.78453065598,4845.348216467658,4351.51873766726,11.160561735613294
12,2017-12-01,962.1987763959572,4845.505199792091,4341.718437175189,11.276188424939262
13,2017-12-04,960.8837383636387,4847.30519769799,4336.358739760893,11.330610742252745
14,2017-12-05,959.6748190133317,4852.8435633150575,4335.147576462142,11.330512394591796
15,2017-12-06,957.9227730051458,4861.567415940102,4338.534401830983,11.26500432893621
16,2017-12-07,955.3978818859313,4873.529707100406,4346.499228045567,11.145937438430266
17,2017-12-08,952.6190817976114,4888.282194784226,4357.538082555217,11.00461250529848
18,2017-12-11,949.6603978367633,4899.799935873083,4370.708773984832,10.848361675490091
19,2017-12-12,946.9106976011032,4899.799935873083,4384.170794086975,10.695137331034621
20,2017-12-13,945.1039269278923,4899.799935873083,4395.659399264549,10.544196619266373
21,2017-12-14,944.0315448948613,4899.799935873083,4405.7430333004095,10.264491937622669
22,2017-12-15,944.1073893338644,4899.799935873083,4414.101594929092,9.517104789104915
23,2017-12-18,945.2570789807592,4899.799935873083,4422.1345771485485,7.8394228565864905
24,2017-12-19,947.6626732180642,4899.799935873083,4430.9578432970575,5.548025293707094
25,2017-12-20,950.8490926450796,4899.799935873083,4440.600314025492,3.542949079187242
26,2017-12-21,953.6835030042614,4899.799935873083,4449.998094332379,2.2266157127435293
27,2017-12-22,955.5243406237385,4899.799935873083,4454.899947244719,1.5006377845812504
28,2017-12-26,956.5352981910659,4899.799935873083,4454.899947244719,1.169797421029287
29,2017-12-27,956.5578233830023,4899.799935873083,4454.899947244719,1.0617645695093403
30,2017-12-28,955.7167384917868,4899.799935873083,4454.899947244719,1.0681370113227662
31,2017-12-29,954.4400221642113,4899.799935873083,4454.899947244719,1.1391075212029362
32,2018-01-02,951.4090073092564,4899.799935873083,4454.899947244719,1.371225334816416
33,2018-01-03,948.6584503462105,4899.799935873083,4454.899947244719,1.567846035425483
34,2018-01-04,948.4619132334901,4899.799935873083,4454.899947244719,1.7134380276966683
35,2018-01-05,950.9245520380666,4899.799935873083,4454.899947244719,1.806177905017796
36,2018-01-08,955.513482326087,4899.799935873083,4451.215081243421,1.8468506456360028
37,2018-01-09,960.3152275471546,4899.799935873083,4445.659651232944,1.8464866773341095
38,2018-01-10,963.2946462359646,4899.799935873083,4441.233409775314,1.791269301138243
39,2018-01-11,964.6199649969107,4898.395076728073,4435.925433934591,1.6418552319152584
40,2018-01-12,965.6156169851017,4863.713242445381,4427.862198542805,1.460748751886226
41,2018-01-16,966.7974676004835,4835.652018032189,4411.028899155482,1.3793428278165214
42,2018-01-17,968.4051213526667,4799.52784888174,4361.181739096655,1.4894117678877183
43,2018-01-18,970.981608638026,4702.84619911704,4141.881132030186,1.8078680095711943
44,2018-01-19,974.6614549084042,4532.9911018470175,3907.418997125305,2.1323755418546337
45,2018-01-22,979.4260720673782,4413.467240450453,3841.6489953025343,2.280046521721884
46,2018-01-23,984.358607793933,4365.099105324806,3846.5648150138463,2.2966826842223798
47,2018-01-24,988.894825282362,4352.296088554413,3862.4812409337405,2.257243223272466
48,2018-01-25,992.9537301031984,4353.8246276993905,3874.852098697196,2.1990523055478244
49,2018-01-26,996.3801775904421,4360.42149282958,3884.078970789113,2.140754106916365
50,2018-01-29,999.2560285270968,4367.271508742775,3891.733196122694,2.084897716793486
51,2018-01-30,1001.5526932464734,4372.896609669572,3898.283649516397,2.0336229344122727
52,2018-01-31,1003.2121453139599,4377.750272085016,3903.8554152528786,1.9902327659656773
53,2018-02-01,1002.5044596149901,4371.223149224284,3901.382156724149,1.9988997355431397
54,2018-02-02,1002.5970631818398,4368.07685747289,3897.539534988183,1.9846065421519714
55,2018-02-05,1002.9039544827478,4366.227878139893,3897.517005505037,1.978086665925781
